,Representative_Date,Cluster_ID,Probability,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_24
Scenario_1,2024-05-17,1,0.04371584699453552,335.56550000000004,318.69750000000005,307.8345,304.031,304.61650000000003,300.488,294.9375,301.6575,319.322,343.2035,359.894,362.8715,364.21799999999996,358.007,346.5025,337.559,327.825,321.252,318.9015,319.546,298.566,275.65250000000003,252.5675,228.775
Scenario_2,2024-10-19,2,0.06830601092896176,108.84349999999999,107.582,106.0485,107.169,106.59150000000001,109.733,118.17099999999999,120.725,112.976,105.7535,111.40899999999999,122.604,132.34799999999998,137.077,137.5015,154.183,176.2845,188.7055,195.5335,203.58200000000002,183.6795,164.7845,145.887,126.36800000000001
Scenario_3,2024-06-20,3,0.04371584699453552,169.7275,174.516,176.851,161.439,121.678,88.3525,73.4005,71.118,66.6075,54.2805,43.085,38.828,47.620999999999995,37.1835,24.6265,17.17,10.595,7.26,7.181500000000001,10.2225,13.288499999999999,11.3755,7.590000000000001,6.4775
Scenario_4,2024-10-03,4,0.030054644808743168,212.044,221.5575,229.4225,233.7495,235.8755,239.914,238.9825,232.9365,226.9285,212.7145,195.259,179.93300000000002,168.423,161.90550000000002,158.6965,156.2695,156.949,162.5315,156.547,141.203,123.3455,112.111,103.9495,96.1525
Scenario_5,2024-09-13,5,0.04644808743169399,37.068,44.214499999999994,58.2335,80.57549999999999,102.5895,122.6055,135.6215,133.626,122.00999999999999,114.34750000000001,116.84750000000001,129.48100000000002,149.47299999999998,171.6075,190.941,208.925,220.517,235.81650000000002,247.5815,254.0325,269.41549999999995,278.30850000000004,283.2555,283.83599999999996
Scenario_6,2024-08-03,6,0.13934426229508196,42.257000000000005,39.779,38.153,35.966499999999996,31.288000000000004,22.163,15.3995,14.791,19.5105,24.084,26.303,27.9865,29.6665,29.5025,26.8365,19.7115,11.958,7.734,9.424999999999999,17.8315,32.004999999999995,46.893,56.139,58.895500000000006
Scenario_7,2024-05-21,7,0.0546448087431694,192.0985,191.0405,193.4075,194.3135,184.355,193.526,212.335,222.016,242.416,260.332,270.075,275.402,281.14099999999996,285.7495,291.5155,302.7495,307.1735,309.218,314.368,333.24150000000003,338.628,335.7235,328.93699999999995,320.4515
Scenario_8,2024-10-17,8,0.04644808743169399,347.445,344.657,346.9465,348.9975,352.188,358.3925,364.93550000000005,362.17100000000005,354.62,322.286,288.099,265.46049999999997,244.157,213.81900000000002,179.853,176.2595,187.527,191.755,189.084,181.138,163.63549999999998,138.7055,127.34100000000001,112.433
Scenario_9,2024-12-30,9,0.02459016393442623,393.4965,396.8955,398.8015,409.429,417.08299999999997,427.736,424.9525,427.125,421.66949999999997,414.115,422.671,418.2645,417.928,418.42249999999996,419.259,431.289,439.96000000000004,442.7085,451.0255,453.31850000000003,448.56600000000003,443.318,437.0175,422.85200000000003
Scenario_10,2024-06-06,10,0.08196721311475409,147.91750000000002,152.699,160.6475,153.101,147.9735,162.65550000000002,166.09799999999998,164.00699999999998,164.9975,168.171,175.6465,178.925,166.2565,143.3915,124.6965,109.65700000000001,93.987,84.4225,80.14,78.903,77.5435,75.894,70.5985,60.7605
Scenario_11,2024-05-26,11,0.1284153005464481,77.4745,72.865,68.91600000000001,57.208,43.346000000000004,35.689,35.0165,37.731,37.6205,41.5275,50.131,57.241,62.523999999999994,67.886,74.152,85.164,95.901,106.39,119.004,139.02,159.63250000000002,168.08100000000002,162.70399999999998,155.429
Scenario_12,2024-06-10,12,0.0273224043715847,248.398,253.70949999999996,254.58999999999997,247.662,243.1385,241.512,236.8785,225.4615,217.5445,207.1915,193.251,180.8415,167.544,150.67249999999999,126.70899999999999,101.994,76.5015,55.2365,42.848,32.125,22.7045,15.502500000000001,9.176,3.6845
Scenario_13,2024-03-26,13,0.03278688524590164,44.3615,40.429,41.012,48.513,60.487,70.096,74.889,69.1545,77.129,109.9695,140.01649999999998,169.6245,199.4785,225.07,239.1285,246.212,259.2595,265.94449999999995,266.6115,266.459,251.851,222.773,202.68449999999999,192.281
Scenario_14,2024-10-16,14,0.02185792349726776,160.8155,179.0735,197.535,218.5815,247.2605,272.2065,293.006,312.82349999999997,338.83299999999997,367.3545,381.5345,389.9325,390.911,387.077,376.808,377.563,379.0795,382.0395,391.5515,393.9245,389.5365,382.94,371.905,357.26599999999996
Scenario_15,2024-12-09,15,0.02459016393442623,319.7105,333.568,355.982,370.9765,376.57649999999995,373.8695,377.4245,384.7475,380.7975,373.21349999999995,367.495,357.817,344.351,329.747,322.786,320.13849999999996,317.6965,316.7965,316.061,314.68449999999996,307.1325,291.1515,272.154,254.1545
Scenario_16,2024-04-06,16,0.01092896174863388,282.80300000000005,266.1975,251.06499999999997,232.738,213.5715,197.079,176.02300000000002,143.641,108.715,77.611,55.7305,50.266,50.18,47.453500000000005,53.6585,84.386,157.989,249.1635,312.58799999999997,334.4105,335.8305,328.2775,308.821,281.19100000000003
Scenario_17,2024-11-03,17,0.03278688524590164,130.051,145.2965,158.9395,172.525,187.3525,202.3435,223.638,240.452,251.88899999999998,262.7765,276.01750000000004,287.9595,290.2625,287.7355,282.1255,295.1475,295.086,281.4355,270.8465,261.4235,245.61749999999998,209.561,170.685,134.749
Scenario_18,2024-01-31,18,0.02185792349726776,318.99899999999997,310.28749999999997,318.481,327.264,325.0315,299.1785,271.4625,267.7855,266.061,246.278,256.089,277.4585,294.42049999999995,324.3335,353.14849999999996,367.586,373.82149999999996,391.455,418.3395,438.7935,450.878,455.68550000000005,454.84599999999995,435.276
Scenario_19,2024-03-14,19,0.05191256830601093,200.20350000000002,219.615,235.2395,238.35999999999999,238.74300000000002,239.6495,245.447,245.89600000000002,246.84,254.069,255.42350000000002,248.451,238.32600000000002,216.18200000000002,191.795,178.19750000000002,182.157,195.604,218.297,234.9745,238.0645,233.095,225.594,217.6585
Scenario_20,2024-06-16,20,0.06830601092896176,157.9535,165.5145,162.58100000000002,152.7775,142.579,133.84650000000002,124.281,123.617,125.85750000000002,120.1415,111.584,98.814,82.73,68.17099999999999,62.3085,62.8035,59.2325,57.242000000000004,61.643,67.3125,69.55799999999999,69.58749999999999,68.3605,69.9385
